titik_sampel;lintang_selatan;bujur_timur;jenis_parameter;parameter;baku_mutu;hasil_pengukuran;periode_data;periode_pemantauan;bulan_sampling;nama_sungai;alamat
ANK-1;-6,175882376;106,7286948;Fisika;TDS;1000;164;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;FIsika;TSS;50;24;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;pH;6-9;7,56;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;BOD;3;23,65;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;COD;25;189;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;DO;4;1,55;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Nitrat;10;1;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Nitrit;0,06;0,1;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Total P;0,2;0,41;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;F;1,5;0,2;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;H2S;0,002;0,001;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Klorin Bebas;0,03;0,13;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Hg;0,002;0,0003;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Cd;0,01;0,0059;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Zn;0,05;0,0069;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Cu;0,02;0,009;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Pb;0,03;0,019;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Cr6+;0,05;0,0029;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Minyak dan Lemak;1;0,7;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;MBAS;0,2;0,03;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Fenol;0,005;0,0023;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Biologi;Total Coliform;5000;500000;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Biologi;Fecal Coliform;1000;170000;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Fisika;TDS;1000;274;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;FIsika;TSS;50;14;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;pH;6-9;7,27;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;BOD;3;10,34;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;COD;25;45;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;DO;4;1,225;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Nitrat;10;0,539;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Nitrit;0,06;0,02;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Total P;0,2;1,27;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;F;1,5;0,47;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;H2S;0,002;0,004;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Klorin Bebas;0,03;0,07;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Hg;0,002;0,0005;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Cd;0,01;0,0059;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Zn;0,05;0,01;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Cu;0,02;0,009;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Pb;0,03;0,019;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Cr6+;0,05;0,0029;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Minyak dan Lemak;1;0,539;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;MBAS;0,2;0,07;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Fenol;0,005;0,0024;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Biologi;Total Coliform;5000;110000;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Biologi;Fecal Coliform;1000;50000;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Fisika;TDS;1000;256,1;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;FIsika;TSS;50;10;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;pH;6-9;7,175;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;BOD;3;5,71;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;COD;25;54;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;DO;4;1,8;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Nitrat;10;1,6;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Nitrit;0,06;0,02;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Total P;0,2;1,01;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;F;1,5;0,21;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;H2S;0,002;0,008;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Klorin Bebas;0,03;0,045;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Hg;0,002;0,0006;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Cd;0,01;0,0059;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Zn;0,05;0,0069;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Cu;0,02;0,009;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Pb;0,03;0,019;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Cr6+;0,05;0,0029;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Minyak dan Lemak;1;0,539;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;MBAS;0,2;0,48;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Kimia;Fenol;0,005;0,0027;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Biologi;Total Coliform;5000;3500000;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Biologi;Fecal Coliform;1000;2800000;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;Fisika;TDS;1000;315,4;2023;Periode 4 (Musim Peralihan);9;Angke;Jl. Duri Kosambi (Ciledug)
ANK-1;-6,175882376;106,7286948;FIsika;TSS;50;34;2023;Periode 4 (Musim Peralihan);9;Angke;Jl. Duri Kosambi (Ciledug)
